"","consumer","resource"
"1769",112,169
"1770",112,171
"1771",112,179
"1772",113,139
"1773",113,179
"1774",114,127
"1775",114,135
"1776",114,147
"1777",114,151
"1778",114,155
"1779",114,159
"1780",115,139
"1781",115,179
"1782",116,127
"1783",116,135
"1784",116,147
"1785",117,127
"1786",117,135
"1787",117,147
"1788",118,143
"1789",118,147
"1790",118,151
"1791",118,155
"1792",118,159
"1793",119,127
"1794",119,135
"1795",119,147
"1796",120,147
"1797",122,127
"1798",122,131
"1799",122,135
"1800",122,139
"1801",122,167
"1802",122,169
"1803",122,171
"1804",122,179
"1805",123,127
"1806",123,131
"1807",123,135
"1808",123,139
"1809",123,167
"1810",123,169
"1811",123,171
"1812",123,179
"1813",4,126
"1814",4,134
"1815",4,138
"1816",4,142
"1817",4,146
"1818",4,150
"1819",4,154
"1820",4,158
"1821",4,162
"1822",4,175
"1823",5,126
"1824",5,130
"1825",5,134
"1826",5,138
"1827",5,142
"1828",5,146
"1829",5,150
"1830",5,154
"1831",5,158
"1832",5,162
"1833",5,175
"1834",5,178
"1835",7,126
"1836",7,130
"1837",7,134
"1838",7,138
"1839",7,142
"1840",7,146
"1841",7,150
"1842",7,154
"1843",7,158
"1844",7,162
"1845",7,175
"1846",7,178
"1847",8,126
"1848",8,130
"1849",8,134
"1850",8,138
"1851",8,142
"1852",8,146
"1853",8,150
"1854",8,154
"1855",8,158
"1856",8,162
"1857",8,175
"1858",8,178
"1859",9,130
"1860",10,130
"1861",11,130
"1862",15,130
"1863",17,130
"1864",18,130
"1865",19,130
"1866",22,130
